سال_شمسی,سال_میلادی,شرکت,مدل,نوع_سوخت,مصرف_سوخت_ترکیبی,شتاب_0_100,نوع_گیربکس,حجم_باک,استاندارد_آلایندگی,امتیاز_تقریبی,وضعیت_تولید,تیپ_های_اصلی,توضیحات
1401,2022,بهمن موتور,دیگنیتی,بنزین,7.5,11.0-13.0,CVT,58,یورو 5,7.0,تولید,پرایم / پرستیژ,1.5 توربو 148 اسب
1402,2023,بهمن موتور,دیگنیتی,بنزین,7.5,11.0-13.0,CVT,58,یورو 5,7.0,تولید,پرایم / پرستیژ,1.5 توربو 148 اسب
1403,2024,بهمن موتور,دیگنیتی,بنزین,7.5,11.0-13.0,CVT,58,یورو 5,7.0,تولید,پرایم / پرستیژ,1.5 توربو 148 اسب
1404,2025,بهمن موتور,دیگنیتی,بنزین,7.5,11.0-13.0,CVT,58,یورو 5,7.0,تولید,پرایم / پرستیژ,1.5 توربو 148 اسب
1405,2026,بهمن موتور,دیگنیتی,بنزین,7.5,11.0-13.0,CVT,58,یورو 5,7.0,تولید,پرایم / پرستیژ,1.5 توربو 148 اسب
1401,2022,بهمن موتور,ریسپکت,بنزین,7.5,10.0-11.0,9 سرعته CVT,50,یورو 5,7.0,شروع تولید,ریسپکت,1.5 توربو 154 اسب
1402,2023,بهمن موتور,ریسپکت,بنزین,7.5,10.0-11.0,9 سرعته CVT,50,یورو 5,7.0,تولید,ریسپکت 2,1.5 توربو 156 اسب
1403,2024,بهمن موتور,ریسپکت,بنزین,7.5,10.0-11.0,9 سرعته CVT,50,یورو 5/6,7.0,تولید,ریسپکت 2,1.5 توربو 156 اسب
1404,2025,بهمن موتور,ریسپکت,بنزین,7.5,10.0-11.0,9 سرعته CVT,50,یورو 5/6,7.0,تولید,ریسپکت 2,1.5 توربو 156 اسب
1405,2026,بهمن موتور,ریسپکت,بنزین,7.5,10.0-11.0,9 سرعته CVT,50,یورو 5/6,7.0,تولید,ریسپکت 2,1.5 توربو 156 اسب
